,count
3,62078.0
4,44228.0
5,34259.0
6,27896.0
7,23527.0
8,20237.0
9,17714.0
10,15567.0
11,14115.0
12,13001.0
13,11713.0
14,10840.0
15,10084.0
16,9400.0
17,8532.0
18,8123.0
19,7650.0
20,7254.0
21,6940.0
22,6417.0
23,6143.0
24,5811.0
25,5486.0
26,5344.0
27,4978.0
28,4748.0
29,4702.0
30,4427.0
31,4239.0
32,4051.0
33,3988.0
34,3738.0
35,3650.0
36,3603.0
37,3364.0
38,3301.0
39,3277.0
40,3122.0
41,2952.0
42,2938.0
43,2866.0
44,2641.0
45,2656.0
46,2632.0
47,2590.0
48,2464.0
49,2362.0
50,2324.0
51,2382.0
52,2251.0
53,2144.0
54,2053.0
55,2043.0
56,2034.0
57,1995.0
58,1869.0
59,1890.0
60,1816.0
61,1771.0
62,1683.0
63,1672.0
64,1692.0
65,1554.0
66,1638.0
67,1633.0
68,1481.0
69,1442.0
70,1500.0
71,1505.0
72,1384.0
73,1318.0
74,1311.0
75,1347.0
76,1325.0
77,1266.0
78,1296.0
79,1274.0
80,1198.0
81,1187.0
82,1155.0
83,1143.0
84,1169.0
85,1069.0
86,1173.0
87,1090.0
88,1050.0
89,1020.0
90,1053.0
91,1016.0
92,1002.0
93,989.0
94,1009.0
95,930.0
96,925.0
97,920.0
98,963.0
99,886.0
100,862.0
101,816.0
102,919.0
103,844.0
104,882.0
105,778.0
106,835.0
107,781.0
108,802.0
109,805.0
110,793.0
111,735.0
112,737.0
113,766.0
114,749.0
115,697.0
116,676.0
117,690.0
118,663.0
119,712.0
120,639.0
121,691.0
122,658.0
123,583.0
124,618.0
125,640.0
126,604.0
127,605.0
128,591.0
129,598.0
130,577.0
131,587.0
132,582.0
133,543.0
134,566.0
135,572.0
136,564.0
137,519.0
138,540.0
139,533.0
140,513.0
141,543.0
142,537.0
143,505.0
144,526.0
145,499.0
146,514.0
147,462.0
148,504.0
149,462.0
150,498.0
151,473.0
152,398.0
153,429.0
154,461.0
155,453.0
156,446.0
157,432.0
158,445.0
159,443.0
160,416.0
161,415.0
162,410.0
163,405.0
164,389.0
165,401.0
166,378.0
167,366.0
168,399.0
169,421.0
170,402.0
171,417.0
172,369.0
173,351.0
174,370.0
175,388.0
176,372.0
177,355.0
178,362.0
179,334.0
180,362.0
181,323.0
182,351.0
183,336.0
184,305.0
185,327.0
186,330.0
187,318.0
188,324.0
189,302.0
190,327.0
191,318.0
192,336.0
193,311.0
194,288.0
195,293.0
196,282.0
197,320.0
198,319.0
199,271.0
200,260.0
201,306.0
202,284.0
203,292.0
204,286.0
205,289.0
206,259.0
207,263.0
208,276.0
209,270.0
210,290.0
211,276.0
212,233.0
213,286.0
214,239.0
215,265.0
216,258.0
217,267.0
218,253.0
219,268.0
220,259.0
221,227.0
222,237.0
223,251.0
224,227.0
225,232.0
226,225.0
227,239.0
228,225.0
229,242.0
230,239.0
231,204.0
232,225.0
233,211.0
234,216.0
235,218.0
236,222.0
