,iphone,ipad,ios,android,windows phone,blackberry,virtual jukebox,twitter web,instagram,tweetbot,mac,other,total
2014-08-15,265635.0,13989.0,746.0,104722.0,3021.0,1393.0,363.0,29280.0,7035.0,8714.0,26.0,12716.0,447640.0
2014-08-16,291770.0,14739.0,765.0,117846.0,3114.0,1218.0,726.0,23904.0,9395.0,8906.0,26.0,13363.0,485772.0
2014-08-17,292550.0,14586.0,663.0,112969.0,2877.0,1565.0,701.0,23934.0,8425.0,8051.0,23.0,11561.0,477905.0
2014-08-18,293996.0,13628.0,619.0,107242.0,2927.0,1237.0,734.0,28339.0,6501.0,8960.0,25.0,13503.0,477711.0
2014-08-19,268333.0,13165.0,654.0,99129.0,2904.0,1122.0,675.0,30529.0,6551.0,8302.0,27.0,12095.0,443486.0
2014-08-20,253746.0,11962.0,696.0,95919.0,2795.0,1043.0,685.0,29821.0,6585.0,8444.0,28.0,12134.0,423858.0
2014-08-21,276177.0,11982.0,551.0,104021.0,2825.0,971.0,703.0,30826.0,6529.0,8547.0,25.0,11730.0,454887.0
2014-08-22,237162.0,12733.0,701.0,97120.0,2928.0,871.0,701.0,28798.0,7446.0,9034.0,25.0,12205.0,409724.0
2014-08-23,262617.0,12890.0,814.0,111965.0,3356.0,917.0,709.0,23332.0,9465.0,9393.0,24.0,13897.0,449379.0
2014-08-24,251092.0,13400.0,712.0,100295.0,2834.0,1113.0,696.0,23850.0,9291.0,8513.0,25.0,11818.0,423639.0
2014-08-25,301996.0,14683.0,609.0,114797.0,3110.0,989.0,693.0,29257.0,7770.0,9053.0,25.0,11546.0,494528.0
2014-08-26,293161.0,13693.0,570.0,114079.0,2741.0,964.0,764.0,31969.0,5726.0,9303.0,22.0,11167.0,484159.0
2014-08-27,275720.0,12894.0,575.0,104888.0,2839.0,820.0,762.0,32871.0,6135.0,9313.0,25.0,11799.0,458641.0
2014-08-28,269088.0,12722.0,606.0,102799.0,2679.0,948.0,740.0,32262.0,5770.0,8816.0,25.0,12038.0,448493.0
2014-08-29,250214.0,13229.0,595.0,96166.0,2636.0,1194.0,708.0,29733.0,6332.0,9074.0,27.0,13812.0,423720.0
2014-08-30,300950.0,14233.0,719.0,121798.0,3270.0,1129.0,751.0,26632.0,8177.0,10111.0,28.0,12407.0,500205.0
2014-08-31,310689.0,15041.0,761.0,116478.0,3000.0,1269.0,848.0,27401.0,8866.0,8934.0,25.0,11511.0,504823.0
2014-09-01,351373.0,17105.0,488.0,128646.0,3444.0,1046.0,835.0,36387.0,5497.0,10707.0,41.0,11471.0,567040.0
2014-09-02,270547.0,14155.0,572.0,99513.0,3025.0,985.0,827.0,29623.0,5915.0,9413.0,6.0,12668.0,447249.0
2014-09-03,264455.0,13218.0,592.0,97275.0,3015.0,1026.0,732.0,32045.0,5632.0,9532.0,12.0,11655.0,439189.0
2014-09-04,253048.0,11752.0,642.0,92762.0,2415.0,875.0,726.0,30242.0,6171.0,9043.0,23.0,13669.0,421368.0
2014-09-05,232853.0,12162.0,716.0,91646.0,2669.0,1098.0,728.0,30377.0,6268.0,8658.0,24.0,11865.0,399064.0
2014-09-06,245920.0,12838.0,785.0,97616.0,3315.0,1184.0,935.0,25568.0,8223.0,8451.0,42.0,11334.0,416211.0
2014-09-07,280575.0,14522.0,738.0,104746.0,3095.0,946.0,1488.0,27628.0,8693.0,8765.0,25.0,9737.0,460958.0
2014-09-08,260828.0,13009.0,627.0,97811.0,2965.0,846.0,1401.0,31574.0,5824.0,8632.0,68.0,10405.0,433990.0
2014-09-09,244509.0,11509.0,600.0,89795.0,2662.0,983.0,937.0,31551.0,5873.0,14353.0,24.0,10172.0,412968.0
2014-09-10,229038.0,11094.0,681.0,87116.0,2625.0,947.0,933.0,30300.0,5953.0,9587.0,63.0,10998.0,389335.0
2014-09-11,244896.0,12115.0,650.0,91862.0,3047.0,1066.0,1515.0,30960.0,6052.0,9694.0,160.0,10462.0,412479.0
2014-09-12,233822.0,11290.0,717.0,93340.0,2994.0,1151.0,1614.0,29811.0,7081.0,10425.0,132.0,13182.0,405559.0
2014-09-13,276629.0,13743.0,849.0,114315.0,3359.0,1116.0,1480.0,26636.0,9493.0,9976.0,32.0,11462.0,469090.0
2014-09-14,293449.0,14511.0,738.0,111143.0,3018.0,1162.0,1326.0,27382.0,9316.0,8834.0,35.0,9937.0,480851.0
2014-09-15,240886.0,11928.0,542.0,89181.0,2313.0,929.0,904.0,31231.0,6238.0,8190.0,48.0,10432.0,402822.0
2014-09-16,265781.0,14098.0,600.0,101418.0,3062.0,968.0,1341.0,30207.0,6301.0,9625.0,29.0,11847.0,445277.0
2014-09-17,238929.0,11527.0,636.0,93988.0,2785.0,856.0,1473.0,32341.0,6019.0,10200.0,27.0,10503.0,409284.0
