,both,only_cluster,only_noise,users_with_RC,users_with_dominant_clusters
0,615,83,483,232,618
1,596,66,445,214,600
2,651,82,556,224,651
3,629,77,444,237,638
4,686,89,458,241,705
5,557,67,396,182,547
6,667,88,465,249,674
7,592,66,406,208,582
8,662,91,460,241,689
9,595,72,444,202,602
10,632,74,498,213,638
11,604,90,456,212,623
12,647,89,547,225,663
13,640,76,437,223,653
14,655,77,443,243,658
15,575,101,448,185,613
16,649,73,436,239,638
17,552,84,450,179,562
18,640,86,482,261,650
19,599,78,445,213,613
20,610,80,485,204,614
21,612,83,451,202,621
22,672,85,520,233,687
23,596,82,406,204,609
24,652,89,500,237,663
25,601,81,440,212,603
26,645,91,496,222,663
27,617,65,434,211,607
28,663,86,455,217,660
29,545,66,417,197,556
30,653,88,506,240,669
31,570,81,443,204,584
32,715,101,505,237,729
33,631,72,464,225,637
34,630,100,488,225,633
35,616,101,404,204,648
36,631,86,482,235,656
37,598,75,435,199,592
38,624,84,469,224,625
39,583,84,437,199,601
40,657,78,452,234,688
41,634,89,437,221,639
42,659,98,556,252,685
43,603,77,439,211,615
44,606,81,485,207,614
45,581,74,424,213,595
46,691,77,459,236,685
47,588,98,391,204,600
48,654,80,480,234,660
49,573,66,397,202,580
50,676,94,472,256,701
51,593,81,403,208,601
52,665,84,458,238,657
53,607,73,422,217,627
54,713,82,509,241,707
55,597,83,467,210,599
56,603,83,490,193,614
57,600,69,433,194,593
58,667,87,481,235,688
59,575,95,429,185,598
60,650,77,507,218,644
61,634,71,406,226,624
62,678,81,522,230,668
63,640,81,447,223,644
64,632,99,465,225,640
65,601,80,436,215,630
66,642,98,436,203,669
67,612,72,418,214,628
68,682,88,463,247,692
69,588,78,441,216,596
70,649,88,467,228,667
71,598,69,438,201,586
72,692,87,542,244,683
73,585,77,413,201,592
74,659,82,488,213,660
75,580,66,399,212,572
76,634,85,444,238,639
77,593,81,437,226,605
78,696,89,435,236,690
79,582,81,442,205,596
80,686,75,432,234,683
81,552,99,455,187,570
82,682,100,500,227,700
83,589,73,434,210,597
84,688,98,456,236,702
85,575,68,424,201,562
86,707,95,470,238,725
87,592,89,450,210,616
88,646,105,477,220,679
89,561,63,416,195,568
90,681,84,476,242,697
91,592,70,419,204,587
92,673,106,495,237,711
93,630,80,430,224,628
94,630,87,469,217,646
95,555,73,406,196,575
96,634,89,494,228,655
97,573,73,431,216,594
98,699,91,460,263,703
99,580,84,426,199,600
100,632,78,486,201,647
101,618,88,436,217,622
102,677,87,512,244,680
103,604,77,399,198,619
104,641,77,494,233,648
105,561,87,462,203,579
106,678,89,463,232,688
107,575,93,426,220,612
108,648,92,432,220,652
109,595,59,418,197,587
110,681,89,485,248,696
111,576,78,411,221,594
112,693,110,508,235,707
113,606,79,391,237,622
114,696,85,465,238,715
115,608,77,413,219,636
116,641,63,440,240,622
117,578,80,430,228,600
118,612,82,461,220,621
119,577,65,464,217,585
120,663,101,474,227,704
121,641,91,452,200,664
122,692,92,493,247,710
123,591,78,404,195,604
124,656,91,476,243,660
125,607,84,434,221,644
126,688,105,486,206,723
127,580,82,428,212,593
